review,rating
Mi band 4 really satisfied; It’s Amoled colouring display looks like bold and it’s give a superb look in your wrist. Heart rate monitor little disappointed; otherwise everything is good in this band. This band is really unique and it’s non comparable to others band. Fully satisfied by 😊Sumita Gayen😊READ MORE,5
Very nice band.I am very glad having this wonderful mi band which is very useful for me.I am using it since 5 days and there is no problem.READ MORE,5
"It's been 20 days using this Mi band 4 and all i can say is this band is worth the money. Its battery is 28% remaining after 20 days of use and will surely last for atleast a week more. Everything in this band is adorable. Its colorful amoled display looks gorgeous. Its strap quality is also so good, it didn't cause any skin irritation even after wearing it everytime, hope it's strap will last atleast a year. The band actually looks so ravishing in wrist. The Mi fit app is great. For a studen...READ MORE",5
I am happy with this product... I am reviewing it after using for  1 week .... Battery life is good... It consume around 5 percent battery in a day... I like its notification feature.. U can read ur messages in band itself... U can make ur own wallpaper... Heart sensor works great.... Only drawback as of now... It can only tell sleeping pattern at night... So if u are sleeping at day time it will not keep record of thatREAD MORE,5
"10/10 The Mi band 4 is better than I imagined. As my first smart ""watch"" device I can surely say I am not living without one any more. It helps you a lot by giving some important feedback that one would assume is not possible to do so with such a small equipment. For example, the sleep analysis available is mind blowing. The band with its app showed that I was sleeping badly, even though I slept enough hours a day (around 8). I've begin to change some of my routines activities to help fix it,...READ MORE",5
I am very happy after using this Mi Band 4..... This band is just awesome and I liked every feature in this watch...the best thing in the watch is that it has unlimited watch faces and you can also set custom watch face that will be chosen by you..READ MORE,5
Finally it’s a nice band I using in this time battery is superb n works nicely I think m not investe my money to rong product best qualityREAD MORE,5
"Good product, nice performance, good battery, i love itREAD MORE",5
Long batrry life very good features and string grip ...cool watch it's better than honor band 5 and real me bana.....go with mi band 4Amazing band ....tracking very goodREAD MORE,5
The most greatest thing I have ever buyed is this.This is the super watch as well as band. The watch is also waterproof and beautiful.READ MORE,5
The most greatest thing I have ever buyed is this.This is the super watch as well as band. The watch is also waterproof and beautiful.READ MORE,5
Veryyy nice band the sleep monitoring is very accurate i liked it very much. There are uncountable number of watch faces available which makes it look more beautifulREAD MORE,5
"Good product,  value for money Screen display is very much sharp include touch sensitivity, Battery Back up is Great  as practically needs to charge once in 15 days , This is the biggest + Points as per my Usage Exp Xiaomi - well crafted design for indiaREAD MORE",5
Awesome product best value and best watch book now and best featuresREAD MORE,5
